Time (s),Emotion,Confidence,Blink,Eye_Distance,Mouth_Open,Mouth_Width,Eyebrow_Lift,Nose_X,Nose_Flare
97,sad,62.67675757408142,0,0.008167743682861328,0.003544747829437256,0.15876910090446472,-0.08091586828231812,0.5758581757545471,0.10146111249923706
99,neutral,68.02796721458435,0,0.028742045164108276,0.0002987384796142578,0.15650779008865356,-0.061406493186950684,0.5749708414077759,0.10052305459976196
102,neutral,77.50424146652222,0,0.013569742441177368,0.0002465248107910156,0.1622568666934967,-0.07838654518127441,0.5710880160331726,0.10254383087158203
104,sad,96.91939353942871,0,0.018993109464645386,0.007771492004394531,0.1333470344543457,-0.051366567611694336,0.6830984354019165,0.08682835102081299
106,fear,95.77844738960266,0,0.022409766912460327,0.015229403972625732,0.11603069305419922,-0.04911559820175171,0.6220206618309021,0.08505529165267944
108,sad,63.648080825805664,0,0.024112790822982788,0.00046253204345703125,0.11252665519714355,-0.04708296060562134,0.621351420879364,0.08104968070983887
110,sad,92.22015142440796,0,0.024436771869659424,0.0009521842002868652,0.11277222633361816,-0.045099854469299316,0.5779863595962524,0.08574622869491577
111,sad,94.78825895716304,0,0.02326628565788269,0.0007843971252441406,0.12262845039367676,-0.04396897554397583,0.5803939700126648,0.09149718284606934
113,sad,92.7388072013855,0,0.021914631128311157,0.002192080020904541,0.14160096645355225,-0.044841766357421875,0.5453188419342041,0.09906506538391113
114,sad,92.25756479844837,0,0.023538559675216675,0.0004024505615234375,0.1384958028793335,-0.043386101722717285,0.5830124020576477,0.09985935688018799
114,sad,94.66528296470642,0,0.023517519235610962,0.0022007226943969727,0.12493211030960083,-0.046452343463897705,0.6257427334785461,0.08999574184417725
115,sad,92.94366240501404,0,0.024380356073379517,0.0009558796882629395,0.1127825379371643,-0.04647195339202881,0.6593787670135498,0.08653247356414795
116,sad,69.85522328944344,0,0.026058167219161987,0.0013321638107299805,0.12248986959457397,-0.049880027770996094,0.6571228504180908,0.0858415961265564
116,sad,90.62642399230147,0,0.025925427675247192,0.0017617344856262207,0.1171334981918335,-0.04792135953903198,0.6650912761688232,0.08543479442596436
117,sad,98.19564819335938,0,0.02558150887489319,0.0011897087097167969,0.11433291435241699,-0.04592728614807129,0.6592270135879517,0.08609354496002197
